Battle_Number,Battle_Duration,Winner,Winner_Spin_Duration,Fastest_Spinner_First_Half
1,00:18.8,BROWN,00:03.1,GREY is spinning faster (first half)
2,00:14.7,BROWN,00:02.3,BROWN is spinning faster (first half)
